response_id	grna_group
CDKN2B	sgRNA_21964186.21964500_21964472_gene
p16.dialup	sgRNA_21964186.21964500_21964472_gene
p14.dialup	sgRNA_21964186.21964500_21964472_gene
CDKN2B	sgRNA_21964186.21964500_21964492_gene
p16.dialup	sgRNA_21964186.21964500_21964492_gene
p14.dialup	sgRNA_21964186.21964500_21964492_gene
CDKN2B	sgRNA_21964186.21964500_21964500_gene
p16.dialup	sgRNA_21964186.21964500_21964500_gene
p14.dialup	sgRNA_21964186.21964500_21964500_gene
CDKN2B	sgRNA_21964910.21965507_21965156_gene
p16.dialup	sgRNA_21964910.21965507_21965156_gene
p14.dialup	sgRNA_21964910.21965507_21965156_gene
CDKN2B	sgRNA_21964910.21965507_21965238_gene
p16.dialup	sgRNA_21964910.21965507_21965238_gene
p14.dialup	sgRNA_21964910.21965507_21965238_gene
CDKN2B	sgRNA_21964910.21965507_21965277_gene
p16.dialup	sgRNA_21964910.21965507_21965277_gene
p14.dialup	sgRNA_21964910.21965507_21965277_gene
CDKN2B	sgRNA_21965574.21965827_21965648_gene
p16.dialup	sgRNA_21965574.21965827_21965648_gene
p14.dialup	sgRNA_21965574.21965827_21965648_gene
CDKN2B	sgRNA_21965574.21965827_21965686_gene
p16.dialup	sgRNA_21965574.21965827_21965686_gene
p14.dialup	sgRNA_21965574.21965827_21965686_gene
CDKN2B	sgRNA_21965574.21965827_21965741_gene
p16.dialup	sgRNA_21965574.21965827_21965741_gene
p14.dialup	sgRNA_21965574.21965827_21965741_gene
CDKN2B	sgRNA_21965574.21965827_21965801_gene
p16.dialup	sgRNA_21965574.21965827_21965801_gene
p14.dialup	sgRNA_21965574.21965827_21965801_gene
CDKN2B	sgRNA_21967673.21968059_21967847_gene
p16.dialup	sgRNA_21967673.21968059_21967847_gene
p14.dialup	sgRNA_21967673.21968059_21967847_gene
CDKN2B	sgRNA_21967673.21968059_21967891_gene
p16.dialup	sgRNA_21967673.21968059_21967891_gene
p14.dialup	sgRNA_21967673.21968059_21967891_gene
CDKN2B	sgRNA_21967673.21968059_21967925_gene
p16.dialup	sgRNA_21967673.21968059_21967925_gene
p14.dialup	sgRNA_21967673.21968059_21967925_gene
CDKN2B	sgRNA_21967673.21968059_21967935_gene
p16.dialup	sgRNA_21967673.21968059_21967935_gene
p14.dialup	sgRNA_21967673.21968059_21967935_gene
CDKN2B	sgRNA_21968332.21968667_21968362_gene
p16.dialup	sgRNA_21968332.21968667_21968362_gene
p14.dialup	sgRNA_21968332.21968667_21968362_gene
CDKN2B	sgRNA_21968332.21968667_21968489_gene
p16.dialup	sgRNA_21968332.21968667_21968489_gene
p14.dialup	sgRNA_21968332.21968667_21968489_gene
CDKN2B	sgRNA_21968332.21968667_21968561_gene
p16.dialup	sgRNA_21968332.21968667_21968561_gene
p14.dialup	sgRNA_21968332.21968667_21968561_gene
CDKN2B	sgRNA_21968332.21968667_21968628_gene
p16.dialup	sgRNA_21968332.21968667_21968628_gene
p14.dialup	sgRNA_21968332.21968667_21968628_gene
CDKN2B	sgRNA_21970423.21970667_21970439_gene
p16.dialup	sgRNA_21970423.21970667_21970439_gene
p14.dialup	sgRNA_21970423.21970667_21970439_gene
CDKN2B	sgRNA_21970423.21970667_21970466_gene
p16.dialup	sgRNA_21970423.21970667_21970466_gene
p14.dialup	sgRNA_21970423.21970667_21970466_gene
CDKN2B	sgRNA_21970423.21970667_21970490_gene
p16.dialup	sgRNA_21970423.21970667_21970490_gene
p14.dialup	sgRNA_21970423.21970667_21970490_gene
CDKN2B	sgRNA_21970423.21970667_21970587_gene
p16.dialup	sgRNA_21970423.21970667_21970587_gene
p14.dialup	sgRNA_21970423.21970667_21970587_gene
CDKN2B	sgRNA_21970669.21971071_21970772_gene
p16.dialup	sgRNA_21970669.21971071_21970772_gene
p14.dialup	sgRNA_21970669.21971071_21970772_gene
CDKN2B	sgRNA_21970669.21971071_21970776_gene
p16.dialup	sgRNA_21970669.21971071_21970776_gene
p14.dialup	sgRNA_21970669.21971071_21970776_gene
CDKN2B	sgRNA_21970669.21971071_21970916_gene
p16.dialup	sgRNA_21970669.21971071_21970916_gene
p14.dialup	sgRNA_21970669.21971071_21970916_gene
CDKN2B	sgRNA_21970669.21971071_21970981_gene
p16.dialup	sgRNA_21970669.21971071_21970981_gene
p14.dialup	sgRNA_21970669.21971071_21970981_gene
CDKN2B	sgRNA_21971240.21971874_21971414_gene
p16.dialup	sgRNA_21971240.21971874_21971414_gene
p14.dialup	sgRNA_21971240.21971874_21971414_gene
CDKN2B	sgRNA_21971240.21971874_21971419_gene
p16.dialup	sgRNA_21971240.21971874_21971419_gene
p14.dialup	sgRNA_21971240.21971874_21971419_gene
CDKN2B	sgRNA_21971240.21971874_21971528_gene
p16.dialup	sgRNA_21971240.21971874_21971528_gene
p14.dialup	sgRNA_21971240.21971874_21971528_gene
CDKN2B	sgRNA_21971240.21971874_21971620_gene
p16.dialup	sgRNA_21971240.21971874_21971620_gene
p14.dialup	sgRNA_21971240.21971874_21971620_gene
CDKN2B	sgRNA_21973546.21973929_21973621_gene
p16.dialup	sgRNA_21973546.21973929_21973621_gene
p14.dialup	sgRNA_21973546.21973929_21973621_gene
CDKN2B	sgRNA_21973546.21973929_21973652_gene
p16.dialup	sgRNA_21973546.21973929_21973652_gene
p14.dialup	sgRNA_21973546.21973929_21973652_gene
CDKN2B	sgRNA_21973546.21973929_21973760_gene
p16.dialup	sgRNA_21973546.21973929_21973760_gene
p14.dialup	sgRNA_21973546.21973929_21973760_gene
CDKN2B	sgRNA_21973546.21973929_21973765_gene
p16.dialup	sgRNA_21973546.21973929_21973765_gene
p14.dialup	sgRNA_21973546.21973929_21973765_gene
CDKN2B	sgRNA_21974016.21974250_21974172_gene
p16.dialup	sgRNA_21974016.21974250_21974172_gene
p14.dialup	sgRNA_21974016.21974250_21974172_gene
CDKN2B	sgRNA_21974016.21974250_21974191_gene
p16.dialup	sgRNA_21974016.21974250_21974191_gene
p14.dialup	sgRNA_21974016.21974250_21974191_gene
CDKN2B	sgRNA_21974016.21974250_21974196_gene
p16.dialup	sgRNA_21974016.21974250_21974196_gene
p14.dialup	sgRNA_21974016.21974250_21974196_gene
CDKN2B	sgRNA_21974016.21974250_21974251_gene
p16.dialup	sgRNA_21974016.21974250_21974251_gene
p14.dialup	sgRNA_21974016.21974250_21974251_gene
CDKN2B	sgRNA_21974382.21974628_21974467_gene
p16.dialup	sgRNA_21974382.21974628_21974467_gene
p14.dialup	sgRNA_21974382.21974628_21974467_gene
CDKN2B	sgRNA_21974382.21974628_21974523_gene
p16.dialup	sgRNA_21974382.21974628_21974523_gene
p14.dialup	sgRNA_21974382.21974628_21974523_gene
CDKN2B	sgRNA_21974382.21974628_21974617_gene
p16.dialup	sgRNA_21974382.21974628_21974617_gene
p14.dialup	sgRNA_21974382.21974628_21974617_gene
CDKN2B	sgRNA_21974644.21975049_21974982_gene
p16.dialup	sgRNA_21974644.21975049_21974982_gene
